Bat_ID	Date_tested	Notes	Exemplar	PLYBAK	NUMBER	REPEAT	TIME	RESPONSE	REVIEWED	RESPONSE_REVIEWED	if not 3 	NOTES
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Sci_bou	1	0	21:46	2	1	2	2	"no interest at the end, only in the beginning "
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Pri_tae	2	0	NA	0	1	0	0	revisar
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Ano_wet	3	0	NA	0	1	0	0	an airplane passing by
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Eng_pus	4	0	NA	2	1	2	2	revisar
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Flo_mel	5	0	NA	0	1	0	0	"revisar, reaction once at the end of the video, could be 2"
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Dia_dia	6	0	22:14	2	1	3	2	Revisar video
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Cra_fitz	7	0	22:19	4	1	3	2	"revisar, could be 2: clear flight towwards speaker, with 1 m of speaker. not within .5, so 3, not 4. "
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Den_ebr	8	0	NA	2	1	1	1	
Ice King	28-May-19	"second bat tested, caught with 9 other bats from tunnel 9 on same day. Tested on same night as Ice King, all other bats had experience or were juvenile. Released same night"	2	Ano_dry	9	0	NA	2	1	2	2	
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	4	Den_ebr	1	0	22:13	2	1	2	2	habituated by the end
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	2	Pri_tae	3	0	22:20	2	1	1	1	"habituated at the end, responed to sounds outside- strong initial response though"
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	2	Dia_dia	4	0	22:28	0 or 1	1	0	0	"mostly sleeping, acknowledged the sound and stopped"
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	7	Ano_dry	5	0	22:32	1	1	1	1	mostly at start
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"		Pur_ton	6	0	22:36	0	1	1	1	did not respond: TOO LOUD for the humans
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	4	Eng_pus	7	0	22:41	2	1	1	1	sleeping before
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	1	Cra_fitz	8	0	22:45	2	1	1	1	frogs calling outside
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	2	Flo_mel	9	0	22:49	0	0	0	0	sleeping
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	5	Sci_bou	10	0	22:54	2	1	1	1	"on review: 1, but ABSURDLY strong at start. lokos like spasms"
Petunia	14-Jun-19	"caught from a roost in a group, on gamoba road, the secret double tunnel inside the gamboa road double tunnel. Tested first night, first. Starting after 2100"	6	Ano_wet	11	1	22:59	1	1	1	1	sleeping
Bernadette	14-Jun-19		4	Dia_dia	1	0	12:30	0	1	0	0	"first try was not good, on review, truth. noisy testers. try 2 follows"
Bernadette	14-Jun-19		3	Pri_tae	2	0	12:37	2	1	1	1	first try was not good
Bernadette	14-Jun-19		6	Ano_dry	3	0	12:46	0	1	0	0	
Bernadette	14-Jun-19		6	Ano_wet	4	0	12:50	0	1	0	0	el muricelago duerme
Bernadette	14-Jun-19		1	Flo_mel	5	0	12:53	0	1	0	0	el muricelago duerme y alerta oros sonidos
