"","PLYBAK","mean.class","SE","df","asymp.LCL","asymp.UCL",".group"
"8","Dia_dia",0.406272265737424,0.235809781456602,Inf,-0.0559064131197768,0.868450944594624," 1   "
"9","Flo_mel",0.421207330774824,0.256723680249152,Inf,-0.0819618364920894,0.924376498041738," 1   "
"10","Pur_ton",0.427274391239768,0.327881607976469,Inf,-0.215361751587193,1.06991053406673," 12  "
"3","Ano_wet",0.850045300186277,0.299681388618935,Inf,0.262680571656214,1.43741002871634," 12  "
"6","Den_ebr",1.0945750194062,0.307726056772143,Inf,0.491443031028276,1.69770700778413," 123 "
"2","Ano_dry",1.32608548629333,0.352350219326692,Inf,0.635491746468222,2.01667922611843," 123 "
"1","Pri_tae",1.63985895879711,0.354702189355899,Inf,0.944655442422046,2.33506247517218,"  234"
"7","Sci_bou",2.20782918812995,0.342685077446107,Inf,1.53617877829626,2.87947959796364,"   34"
"4","Cra_fitz",2.2294261794501,0.345318071642363,Inf,1.55261519582025,2.90623716307996,"   34"
"5","Eng_pus",2.72120274234002,0.341380972877178,Inf,2.05210833049351,3.39029715418653,"    4"
